,discipline,SPMDIR
001-nvshmem-conflict-putnbi-load-local-no.cpp,conflict,TN
002-nvshmem-conflict-putnbi-store-local-yes.cpp,conflict,TP
003-nvshmem-conflict-putnbi-putnbi-local-no.cpp,conflict,TN
004-nvshmem-conflict-getnbi-load-local-yes.cpp,conflict,TP
005-nvshmem-conflict-getnbi-store-local-yes.cpp,conflict,TP
006-nvshmem-conflict-getnbi-putnbi-local-yes.cpp,conflict,TP
007-nvshmem-conflict-getnbi-getnbi-local-yes.cpp,conflict,TP
008-nvshmem-conflict-put_signal_nbi-store-local-yes.cpp,conflict,TP
009-nvshmem-conflict-put_signal_nbi-load-local-no.cpp,conflict,TN
001-nvshmem-sync-barrierall-local-yes.cpp,sync,TP
002-nvshmem-sync-barrierall-local-no.cpp,sync,TN
003-nvshmem-sync-quiet-local-yes.cpp,sync,TP
004-nvshmem-sync-quiet-local-no.cpp,sync,TN
005-nvshmem-sync-waituntil-local-no.cpp,sync,FP
006-nvshmem-sync-waituntil-local-yes.cpp,sync,TP
001-nvshmem-misc-putnbi-load-deep-nesting-local-no.cpp,static,TN
002-nvshmem-misc-putnbi-load-aliasing-local-no.cpp,static,TN
003-nvshmem-misc-putnbi-load-retval-local-no.cpp,static,TN
004-nvshmem-misc-putnbi-load-memcpy-local-no.cpp,static,TN
005-nvshmem-misc-getnbi-load-deep-nesting-local-yes.cpp,static,TP
006-nvshmem-misc-getnbi-load-aliasing-local-yes.cpp,static,TP
007-nvshmem-misc-getnbi-load-retval-local-yes.cpp,static,TP
008-nvshmem-misc-getnbi-load-memcpy-local-yes.cpp,static,TP
